DATE,INFLATION,UNRATE,FEDFUNDS
2009-07-01,0.857,9.6,0.16
2009-10-01,0.780,9.9,0.12
2010-01-01,0.143,9.8,0.13
2010-04-01,-0.010,9.6,0.19
2010-07-01,0.308,9.5,0.19
2010-10-01,0.767,9.6,0.19
2011-01-01,1.034,9.0,0.16
2011-04-01,1.211,9.1,0.09
2011-07-01,0.652,9.0,0.08
2011-10-01,0.385,8.6,0.07
2012-01-01,0.519,8.2,0.10
2012-04-01,0.343,8.2,0.15
2012-07-01,0.425,8.0,0.14
2012-10-01,0.596,7.8,0.16
2013-01-01,0.295,7.7,0.14
2013-04-01,0.100,7.5,0.12
2013-07-01,0.535,7.2,0.08
2013-10-01,0.282,7.0,0.09
,,,
